Team Solo Mid,TSM
Counter Logic Gaming,CLG
Cloud9,C9
Echo Fox,FOX
Immortals,IMT
TeamEnvy,NV
FlyQuest,FLY
Team Liquid,TL
Team Dignitas,DIG
Phoenix1,P1
